name,age,phone_number,client
NameA0,20,9000000000,c01
NameA1,23,9000000001,c01
NameA2,23,9000000002,c01
NameA3,59,9000000003,c01
NameA4,29,9000000004,c01
NameA5,39,9000000005,c01
NameA6,41,9000000006,c01
NameA7,56,9000000007,c01
NameA8,43,9000000008,c01
NameA9,26,9000000009,c01
NameB0,37,9800000000,c02
NameB1,57,9800000001,c02
NameB2,45,9800000002,c02
NameB3,33,9800000003,c02
NameB4,28,9800000004,c02
NameB5,29,9800000005,c02
NameB6,40,9800000006,c02
NameB7,36,9800000007,c02
NameB8,25,9800000008,c02
NameB9,35,9800000009,c02
